EVENTTYPE,REGISTERDATE,STOPID,ODOMETER,LATITUDE,LONGITUDE,TASKID,LINEID,TRIPID,DATAGRAMID,DATAGRAMDATE,BUSID
0,01-NOV-18,516038,6,34218833,-765347083,941,2273,1343,5792069128,01-NOV-18 05.35.31.000000 AM,49
0,01-NOV-18,515042,309,34026433,-765033200,965,2121,20,5792069129,01-NOV-18 05.35.31.000000 AM,1130
0,01-NOV-18,502000,-1,33986000,-765464817,753,272,269,5792069130,01-NOV-18 05.35.31.000000 AM,234
0,01-NOV-18,511310,35,34041133,-765324000,29,271,1097,5792069131,01-NOV-18 05.35.31.000000 AM,34
0,01-NOV-18,-1,-1,34976283,-765010383,538,2242,9946,5792069132,01-NOV-18 05.35.31.000000 AM,818
0,01-NOV-18,513007,331,34841433,-764860917,557,2121,320,5792069133,01-NOV-18 05.35.31.000000 AM,1168
0,01-NOV-18,516031,-1,34121517,-765382767,592,2273,1019,5792069134,01-NOV-18 05.35.31.000000 AM,1070
0,01-NOV-18,-1,-1,33590633,-765120200,-1,-1,-1,5792069135,01-NOV-18 05.35.31.000000 AM,1152
0,01-NOV-18,514088,18,34296667,-764774583,800,2842,464,5792069136,01-NOV-18 05.35.31.000000 AM,313
0,01-NOV-18,501702,410,34279550,-765452850,315,421,522,5792069137,01-NOV-18 05.35.31.000000 AM,309
0,01-NOV-18,500165,27,34436033,-764823517,124,2243,355,5792069138,01-NOV-18 05.35.31.000000 AM,1170
0,01-NOV-18,518003,11,34199667,-765093333,470,2471,9,5792069139,01-NOV-18 05.35.31.000000 AM,1153
0,01-NOV-18,500952,320,34401033,-765285183,860,2104,267,5792069140,01-NOV-18 05.35.31.000000 AM,428
0,01-NOV-18,500100,-1,34895750,-765094167,856,2241,237,5792069141,01-NOV-18 05.35.31.000000 AM,788
0,01-NOV-18,513014,255,34705517,-764849717,1043,2273,1026,5792069142,01-NOV-18 05.35.31.000000 AM,1064
0,01-NOV-18,501603,3,34402167,-765366400,409,1571,587,5792069143,01-NOV-18 05.35.31.000000 AM,216
0,01-NOV-18,515058,23,34174350,-764956883,322,2521,2,5792069144,01-NOV-18 05.35.31.000000 AM,1081
0,01-NOV-18,519052,66,34430717,-765320750,552,302,346,5792069145,01-NOV-18 05.35.31.000000 AM,199
0,01-NOV-18,511021,-1,33533333,-765233017,17,3171,16,5792069146,01-NOV-18 05.35.31.000000 AM,1133
0,01-NOV-18,513162,4,34691000,-764805917,425,2121,318,5792069147,01-NOV-18 05.35.31.000000 AM,225
0,01-NOV-18,512164,211,34771600,-765160383,171,2242,10,5792069148,01-NOV-18 05.35.31.000000 AM,926
0,01-NOV-18,500100,-1,34895750,-765094167,856,2241,237,5792069149,01-NOV-18 05.35.31.000000 AM,788
0,01-NOV-18,518003,11,34199617,-765094283,470,2471,9,5792069150,01-NOV-18 05.35.31.000000 AM,1153
0,01-NOV-18,-1,1055,34967217,-765041583,267,2402,9909,5792069151,01-NOV-18 05.35.31.000000 AM,806
0,01-NOV-18,501900,96,34088633,-765469433,720,2472,305,5792069152,01-NOV-18 05.35.32.000000 AM,160
0,01-NOV-18,502300,-1,33672683,-765295867,294,421,518,5792069153,01-NOV-18 05.35.32.000000 AM,1061
0,01-NOV-18,501451,23,34441733,-765264417,134,2301,375,5792069154,01-NOV-18 05.35.32.000000 AM,653
0,01-NOV-18,501451,37,34442300,-765264600,134,2301,375,5792069155,01-NOV-18 05.35.32.000000 AM,653
0,01-NOV-18,513096,-1,34682150,-764927150,579,3372,268,5792069156,01-NOV-18 05.35.32.000000 AM,138
0,01-NOV-18,501701,1425,34412533,-765347033,988,421,9,5792069157,01-NOV-18 05.35.32.000000 AM,307
0,01-NOV-18,519083,29,34394433,-765387433,7,303,6,5792069158,01-NOV-18 05.35.32.000000 AM,188
0,01-NOV-18,500164,533,34399083,-764813300,38,2842,25,5792069159,01-NOV-18 05.35.32.000000 AM,227
0,01-NOV-18,514478,98,34384917,-764864650,629,385,11,5792069160,01-NOV-18 05.35.32.000000 AM,274
0,01-NOV-18,513048,19,34870083,-764979400,1038,2301,12,5792069161,01-NOV-18 05.35.32.000000 AM,1174
0,01-NOV-18,511293,-1,33763450,-765523983,180,3121,376,5792069162,01-NOV-18 05.35.32.000000 AM,95
0,01-NOV-18,519108,34,34455100,-765473917,23,370,5,5792069163,01-NOV-18 05.35.32.000000 AM,1208
0,01-NOV-18,514494,35,34140600,-764776633,424,357,4,5792069164,01-NOV-18 05.35.32.000000 AM,284
0,01-NOV-18,501451,287,34467767,-765271150,355,2104,4,5792069165,01-NOV-18 05.35.32.000000 AM,413
0,01-NOV-18,515025,35,33999867,-765091317,891,2473,10,5792069166,01-NOV-18 05.35.32.000000 AM,1158
0,01-NOV-18,514056,110,34413933,-764802450,716,142,10,5792069167,01-NOV-18 05.35.32.000000 AM,923
0,01-NOV-18,500159,-1,34440350,-764830483,648,441,11,5792069168,01-NOV-18 05.35.32.000000 AM,908
0,01-NOV-18,518147,-1,-1,-1,883,2212,14,5792069169,01-NOV-18 05.35.32.000000 AM,962
0,01-NOV-18,511177,36,33750400,-765504850,160,3122,349,5792069170,01-NOV-18 05.35.32.000000 AM,1233
0,01-NOV-18,518147,18,34395383,-764933683,526,2472,10,5792069171,01-NOV-18 05.35.32.000000 AM,29
0,01-NOV-18,519083,29,34394950,-765388167,7,303,6,5792069172,01-NOV-18 05.35.32.000000 AM,188
0,01-NOV-18,513103,183,34687533,-764850700,54,2212,389,5792069173,01-NOV-18 05.35.32.000000 AM,1148
0,01-NOV-18,511052,-1,33716717,-765641750,26,3192,7,5792069174,01-NOV-18 05.35.32.000000 AM,1162
0,01-NOV-18,513026,32,34972300,-764931633,525,321,11,5792069175,01-NOV-18 05.35.32.000000 AM,341
0,01-NOV-18,518033,33,34212750,-765172000,146,2211,292,5792069176,01-NOV-18 05.35.32.000000 AM,1175
0,01-NOV-18,501101,535,34436000,-764913533,1032,2273,1339,5792069177,01-NOV-18 05.35.32.000000 AM,68
0,01-NOV-18,502900,296,34353017,-765148733,448,2524,369,5792069178,01-NOV-18 05.35.32.000000 AM,1074
0,01-NOV-18,518022,42,34385767,-765067550,764,2273,1022,5792069179,01-NOV-18 05.35.32.000000 AM,1149
0,01-NOV-18,-1,-1,34293683,-764745350,-1,-1,-1,5792069180,01-NOV-18 05.35.32.000000 AM,1094
0,01-NOV-18,511298,6,33820150,-765243133,588,2212,399,5792069181,01-NOV-18 05.35.32.000000 AM,1069
0,01-NOV-18,512178,43,34621117,-765290350,442,2242,278,5792069182,01-NOV-18 05.35.32.000000 AM,230
0,01-NOV-18,518119,10,34315267,-764976783,59,385,282,5792069183,01-NOV-18 05.35.32.000000 AM,757
0,01-NOV-18,501151,34,34438383,-764986717,710,441,329,5792069184,01-NOV-18 05.35.32.000000 AM,780
0,01-NOV-18,-1,-1,33687133,-765323883,354,375,9995,5792069185,01-NOV-18 05.35.32.000000 AM,101
0,01-NOV-18,518033,34,34213050,-765171850,982,2524,19,5792069186,01-NOV-18 05.35.32.000000 AM,57
0,01-NOV-18,513265,178,34897150,-765246450,236,2274,9,5792069187,01-NOV-18 05.35.32.000000 AM,148
0,01-NOV-18,512132,4,34771083,-765160067,171,2242,10,5792069188,01-NOV-18 05.35.32.000000 AM,926
0,01-NOV-18,511222,-1,33702200,-765246917,288,2121,24,5792069189,01-NOV-18 05.35.32.000000 AM,151
0,01-NOV-18,515011,16,34103817,-764934217,227,2121,19,5792069190,01-NOV-18 05.35.32.000000 AM,860
0,01-NOV-18,502000,2,33988333,-765464800,46,131,10,5792069191,01-NOV-18 05.35.32.000000 AM,300
0,01-NOV-18,513309,282,34721100,-764868433,187,2243,356,5792069192,01-NOV-18 05.35.32.000000 AM,1198
0,01-NOV-18,519164,33,34595450,-765295083,495,427,228,5792069193,01-NOV-18 05.35.32.000000 AM,855
0,01-NOV-18,514220,889,34435650,-764832600,148,2842,462,5792069194,01-NOV-18 05.35.32.000000 AM,1098
0,01-NOV-18,513140,34,34720433,-764868217,187,2243,356,5792069195,01-NOV-18 05.35.32.000000 AM,1198
0,01-NOV-18,512021,31,-1,-1,311,2521,6,5792069196,01-NOV-18 05.35.33.000000 AM,1085
0,01-NOV-18,500101,3,34893533,-765091433,746,2273,1334,5792069197,01-NOV-18 05.35.33.000000 AM,326
0,01-NOV-18,511241,373,33432067,-765307250,6,3141,11,5792069198,01-NOV-18 05.35.33.000000 AM,1157
0,01-NOV-18,501150,32,34439067,-764989517,384,140,12,5792069199,01-NOV-18 05.35.33.000000 AM,1215
0,01-NOV-18,501405,594,34473800,-765273217,107,2101,7,5792069200,01-NOV-18 05.35.33.000000 AM,45
0,01-NOV-18,500154,341,34437933,-764829600,562,2472,12,5792069201,01-NOV-18 05.35.33.000000 AM,891
0,01-NOV-18,516067,4,34133683,-765329067,772,272,10,5792069202,01-NOV-18 05.35.33.000000 AM,238
0,01-NOV-18,502311,-1,33664800,-765282100,404,3131,14,5792069203,01-NOV-18 05.35.33.000000 AM,32
0,01-NOV-18,-1,-1,34131267,-765379800,460,375,9999,5792069204,01-NOV-18 05.35.33.000000 AM,290
0,01-NOV-18,517174,33,34092083,-765640417,192,375,352,5792069205,01-NOV-18 05.35.33.000000 AM,200
0,01-NOV-18,515036,3,34119017,-764997183,931,2473,279,5792069206,01-NOV-18 05.35.33.000000 AM,1014
0,01-NOV-18,513272,319,34640383,-765311067,1035,2301,8,5792069207,01-NOV-18 05.35.33.000000 AM,814
0,01-NOV-18,514494,39,34140867,-764777250,424,357,4,5792069208,01-NOV-18 05.35.33.000000 AM,284
0,01-NOV-18,513013,401,34810500,-764889233,953,2241,239,5792069209,01-NOV-18 05.35.33.000000 AM,1089
0,01-NOV-18,500952,310,34401833,-765286300,504,272,273,5792069210,01-NOV-18 05.35.33.000000 AM,226
0,01-NOV-18,513129,24,-1,-1,480,2402,276,5792069211,01-NOV-18 05.35.33.000000 AM,1093
0,01-NOV-18,511319,3,33714267,-765202633,672,2211,297,5792069212,01-NOV-18 05.35.33.000000 AM,28
0,01-NOV-18,501403,648,34398717,-765228333,115,150,364,5792069213,01-NOV-18 05.35.33.000000 AM,646
0,01-NOV-18,513168,4,34798500,-764917300,79,336,8,5792069214,01-NOV-18 05.35.33.000000 AM,1214
0,01-NOV-18,503002,4,34265767,-765005667,637,1571,580,5792069215,01-NOV-18 05.35.33.000000 AM,714
0,01-NOV-18,513103,183,34689450,-764851283,54,2212,389,5792069216,01-NOV-18 05.35.33.000000 AM,1148
0,01-NOV-18,-1,-1,34354083,-764730817,769,385,9893,5792069217,01-NOV-18 05.35.33.000000 AM,947
0,01-NOV-18,501750,167,34225717,-765473633,499,437,3,5792069218,01-NOV-18 05.35.33.000000 AM,298
0,01-NOV-18,502701,19,34249833,-764946067,421,1571,24,5792069219,01-NOV-18 05.35.33.000000 AM,24
0,01-NOV-18,516234,-1,34191000,-765081800,216,2121,16,5792069220,01-NOV-18 05.35.33.000000 AM,1139
0,01-NOV-18,-1,-1,34729517,-765205083,1062,452,9999,5792069221,01-NOV-18 05.35.33.000000 AM,1075
0,01-NOV-18,512022,16,34706800,-765220750,986,2524,9,5792069222,01-NOV-18 05.35.34.000000 AM,1067
0,01-NOV-18,502051,1,33937233,-765458467,565,441,337,5792069223,01-NOV-18 05.35.34.000000 AM,18
0,01-NOV-18,502305,-1,33666433,-765281650,852,3191,13,5792069224,01-NOV-18 05.35.34.000000 AM,114
0,01-NOV-18,502950,6,34397833,-765226283,153,1571,584,5792069225,01-NOV-18 05.35.34.000000 AM,647
0,01-NOV-18,511281,422,33664683,-765261600,514,2102,776,5792069226,01-NOV-18 05.35.34.000000 AM,75
0,01-NOV-18,511276,635,33827600,-765245200,659,2211,16,5792069227,01-NOV-18 05.35.34.000000 AM,140
0,01-NOV-18,-1,1055,34967217,-765041583,267,2402,9909,5792069228,01-NOV-18 05.35.34.000000 AM,806
0,01-NOV-18,516220,3,34258083,-765276583,585,2104,5,5792069229,01-NOV-18 05.35.34.000000 AM,88
0,01-NOV-18,515142,133,34078467,-765204850,598,2211,18,5792069230,01-NOV-18 05.35.34.000000 AM,73
0,01-NOV-18,515143,7,34077683,-765205750,598,2211,18,5792069231,01-NOV-18 05.35.34.000000 AM,73
0,01-NOV-18,517200,3,33982800,-765436400,375,377,5,5792069232,01-NOV-18 05.35.34.000000 AM,869
0,01-NOV-18,514051,25,34368950,-764703850,150,2243,311,5792069233,01-NOV-18 05.35.34.000000 AM,817
0,01-NOV-18,512023,232,34650117,-765243517,673,452,437,5792069234,01-NOV-18 05.35.34.000000 AM,161
0,01-NOV-18,511352,-1,33799300,-765611917,84,3122,354,5792069235,01-NOV-18 05.35.34.000000 AM,92
0,01-NOV-18,501201,384,34438167,-764989067,240,1472,572,5792069236,01-NOV-18 05.35.34.000000 AM,951
0,01-NOV-18,516107,236,34018183,-765044783,455,2121,312,5792069237,01-NOV-18 05.35.34.000000 AM,1190
0,01-NOV-18,501854,268,34118083,-765478700,1017,427,5,5792069238,01-NOV-18 05.35.34.000000 AM,816
0,01-NOV-18,516184,94,33954917,-765278367,613,2104,7,5792069239,01-NOV-18 05.35.34.000000 AM,1045
0,01-NOV-18,519108,34,34455500,-765472700,23,370,5,5792069240,01-NOV-18 05.35.34.000000 AM,1208
0,01-NOV-18,514051,25,34368950,-764703850,150,2243,311,5792069241,01-NOV-18 05.35.34.000000 AM,817
0,01-NOV-18,514186,22,34172983,-764776067,670,2841,25,5792069242,01-NOV-18 05.35.34.000000 AM,254
0,01-NOV-18,501200,19,34444550,-765032050,68,1472,22,5792069243,01-NOV-18 05.35.34.000000 AM,399
0,01-NOV-18,513260,20,34924717,-765164217,1037,2301,370,5792069244,01-NOV-18 05.35.34.000000 AM,172
0,01-NOV-18,-1,-1,34974567,-765028517,-1,-1,-1,5792069245,01-NOV-18 05.35.34.000000 AM,652
0,01-NOV-18,-1,-1,34292167,-764744133,-1,-1,-1,5792069246,01-NOV-18 05.35.34.000000 AM,957
0,01-NOV-18,502000,412,33947667,-765461583,724,441,2,5792069247,01-NOV-18 05.35.34.000000 AM,402
0,01-NOV-18,514219,-1,34397317,-764812800,38,2842,25,5792069248,01-NOV-18 05.35.34.000000 AM,227
0,01-NOV-18,501050,200,-1,-1,624,441,9,5792069249,01-NOV-18 05.35.34.000000 AM,916
0,01-NOV-18,519264,6,34385600,-765460033,453,304,303,5792069250,01-NOV-18 05.35.34.000000 AM,205
0,01-NOV-18,519199,42,34601533,-765531467,736,306,300,5792069251,01-NOV-18 05.35.34.000000 AM,212
0,01-NOV-18,513043,17,34950583,-764944317,110,321,351,5792069252,01-NOV-18 05.35.34.000000 AM,1188
0,01-NOV-18,519045,26,34526617,-765200183,801,2402,5,5792069253,01-NOV-18 05.35.34.000000 AM,257
0,01-NOV-18,518030,-1,34456667,-764894600,317,2402,11,5792069254,01-NOV-18 05.35.34.000000 AM,1112
0,01-NOV-18,-1,-1,33674550,-765255283,-1,-1,-1,5792069255,01-NOV-18 05.35.34.000000 AM,1136
0,01-NOV-18,514003,125,34456450,-764906300,991,2273,1024,5792069256,01-NOV-18 05.35.34.000000 AM,632
0,01-NOV-18,500106,-1,34888650,-765078883,242,421,532,5792069257,01-NOV-18 05.35.34.000000 AM,382
0,01-NOV-18,514068,31,34356050,-764797867,1162,3441,34,5792069258,01-NOV-18 05.35.34.000000 AM,744
0,01-NOV-18,514031,-1,34223333,-764639817,18,2243,354,5792069259,01-NOV-18 05.35.35.000000 AM,1077
0,01-NOV-18,514214,-1,34331933,-764712783,333,3441,27,5792069260,01-NOV-18 05.35.35.000000 AM,740
0,01-NOV-18,516087,-1,33960200,-765134250,757,2473,8,5792069261,01-NOV-18 05.35.35.000000 AM,1009
0,01-NOV-18,500350,20,34693683,-765109567,35,131,18,5792069262,01-NOV-18 05.35.35.000000 AM,637
0,01-NOV-18,517084,-1,33919317,-765571800,682,371,388,5792069263,01-NOV-18 05.35.35.000000 AM,1165
0,01-NOV-18,501151,34,34438367,-764986633,710,441,329,5792069264,01-NOV-18 05.35.35.000000 AM,780
0,01-NOV-18,511194,6,33526900,-765303000,92,311,12,5792069265,01-NOV-18 05.35.35.000000 AM,1010
0,01-NOV-18,514025,30,34365717,-764696167,875,3411,15,5792069266,01-NOV-18 05.35.35.000000 AM,921
0,01-NOV-18,500952,310,34400917,-765286283,504,272,273,5792069267,01-NOV-18 05.35.35.000000 AM,226
0,01-NOV-18,515060,160,34217583,-764912450,832,2473,278,5792069268,01-NOV-18 05.35.35.000000 AM,858
0,01-NOV-18,511257,364,33485800,-765238217,155,318,277,5792069269,01-NOV-18 05.35.35.000000 AM,185
0,01-NOV-18,502101,5,33876333,-765447800,1011,427,9855,5792069270,01-NOV-18 05.35.35.000000 AM,1030
0,01-NOV-18,517200,3,33982800,-765436400,375,377,5,5792069271,01-NOV-18 05.35.35.000000 AM,869
0,01-NOV-18,501250,46,34449067,-765088450,553,441,8,5792069272,01-NOV-18 05.35.35.000000 AM,570
0,01-NOV-18,517175,4,34088867,-765469283,198,2471,371,5792069273,01-NOV-18 05.35.35.000000 AM,1114
0,01-NOV-18,501853,471,34190183,-765482283,167,131,471,5792069274,01-NOV-18 05.35.35.000000 AM,389
0,01-NOV-18,502300,-1,33672367,-765296783,33,131,9,5789750037,01-NOV-18 05.35.21.000000 AM,644
0,01-NOV-18,500162,-1,34436000,-764824700,163,3442,311,5789750038,01-NOV-18 05.35.21.000000 AM,286
0,01-NOV-18,501852,610,34096583,-765474717,202,131,12,5789750039,01-NOV-18 05.35.21.000000 AM,1053
0,01-NOV-18,501551,-1,34537533,-765300717,951,2524,10,5789750040,01-NOV-18 05.35.21.000000 AM,1146
0,01-NOV-18,513185,-1,34787067,-765013033,337,332,12,5789750041,01-NOV-18 05.35.21.000000 AM,198
7,01-NOV-18,501900,39,34091517,-765473650,720,2472,305,5792068742,01-NOV-18 05.35.21.000000 AM,160
0,01-NOV-18,512020,470,-1,-1,311,2521,6,5792068743,01-NOV-18 05.35.21.000000 AM,1085
0,01-NOV-18,-1,11255,34204233,-765481317,607,4272,9925,5792068744,01-NOV-18 05.35.22.000000 AM,889
0,01-NOV-18,516071,120,34195733,-765310300,399,272,270,5792068745,01-NOV-18 05.35.22.000000 AM,261
0,01-NOV-18,511037,243,33424900,-765429600,676,3141,8,5792068746,01-NOV-18 05.35.22.000000 AM,1217
0,01-NOV-18,515025,33,34003350,-765094633,891,2473,10,5792068747,01-NOV-18 05.35.22.000000 AM,1158
0,01-NOV-18,511241,314,33432317,-765302283,6,3141,11,5792068748,01-NOV-18 05.35.22.000000 AM,1157
0,01-NOV-18,501150,31,34438633,-764989150,384,140,12,5792068749,01-NOV-18 05.35.22.000000 AM,1215
0,01-NOV-18,519199,45,34600500,-765535500,736,306,300,5792068750,01-NOV-18 05.35.22.000000 AM,212
0,01-NOV-18,516084,29,34044183,-765130217,641,2141,85,5792068751,01-NOV-18 05.35.22.000000 AM,244
0,01-NOV-18,502600,32,34182283,-764867450,439,1571,9828,5792068752,01-NOV-18 05.35.22.000000 AM,992
0,01-NOV-18,514003,16,34466617,-764899817,868,2212,17,5792068753,01-NOV-18 05.35.22.000000 AM,66
0,01-NOV-18,501301,-1,34452633,-765148500,169,140,505,5792068754,01-NOV-18 05.35.22.000000 AM,220
0,01-NOV-18,502551,32,34848333,-765130750,256,421,3,5792068755,01-NOV-18 05.35.22.000000 AM,864
